2022-01-03,-67610.65999999543
2022-01-05,748256.0800000008
2022-01-07,-68768.49999999814
2022-01-10,-22467.690000000293
2022-01-12,-169132.72000000306
2022-01-14,-6658.739999997837
2022-01-18,-29615.369999998307
2022-01-19,147592.4199999987
2022-01-21,102407.73000000184
2022-01-24,65670.09000000032
2022-01-26,-5985.150000000838
2022-01-28,137892.7500000014
2022-01-31,188768.45000000065
2022-02-02,-69131.17999999924
2022-02-04,-88778.49000000115
2022-02-07,-81635.86999999941
2022-02-09,-49832.619999998016
2022-02-11,246868.85999999847
2022-02-14,-129099.68000000017
2022-02-16,-75941.85999999894
2022-02-18,-27535.41999999946
2022-02-22,-95546.40000000095
2022-02-23,313930.94000000006
2022-02-25,155854.16999999853
2022-02-28,-75756.03000000154
2022-03-02,20899.739999999874
2022-03-04,-196741.18999999948
2022-03-07,322746.0199999993
2022-03-09,-90240.11999999941
2022-03-11,210786.7199999981
2022-03-14,-6012.549999998417
2022-03-16,23042.599999998463
2022-03-18,197995.83999999915
2022-03-21,-176296.1800000018
2022-03-23,-2064.0399999984074
2022-03-25,-105623.90999999712
2022-03-28,44096.23000000254
2022-03-30,-53049.14999999851
2022-03-31,264807.8000000012
2022-04-01,-194029.13000000198
2022-04-04,96271.47000000253
2022-04-06,-147249.45999999787
2022-04-08,-159601.89999999828
2022-04-11,131462.31000000192
2022-04-13,140207.7500000007
2022-04-14,198932.35999999894
2022-04-18,-190475.8300000024
2022-04-20,-36708.40999999875
2022-04-22,416930.80000000144
2022-04-25,50256.72999999975
2022-04-26,226903.44000000088
2022-04-27,-173317.54000000004
2022-04-29,262776.52999999886
2022-05-02,-142000.88999999943
2022-05-03,-121583.63000000222
2022-05-04,161839.20000000042
2022-05-06,-187260.9499999995
2022-05-09,36587.62000000058
2022-05-10,43267.039999999106
2022-05-11,-29320.229999999516
2022-05-13,-18348.890000000363
2022-05-16,-191804.19000000088
2022-05-17,-104058.36000000034
2022-05-18,324080.94000000064
2022-05-19,-176663.26
2022-05-20,-65931.5400000005
2022-05-23,-33912.26000000001
2022-05-24,-169150.99
2022-05-25,-9549.540000000037
2022-05-26,98714.44000000088
2022-05-27,179829.97999999882
2022-05-31,-165884.04999999842
2022-06-01,98739.71000000206
2022-06-02,232706.9999999986
2022-06-03,-109474.55999999982
2022-06-06,-1968.2400000018533
2022-06-07,177946.28000000142
2022-06-08,-72073.20000000228
2022-06-09,227074.419999999
2022-06-10,-7749.110000000568
2022-06-13,-4648.670000000624
2022-06-14,-74542.3899999999
2022-06-15,-144537.79000000074
2022-06-16,-58325.179999999935
2022-06-17,-200965.11000000057
2022-06-21,-57545.28000000003
2022-06-22,-12730.710000000661
2022-06-23,-143720.79000000004
2022-06-24,249445.37999999896
2022-06-27,-66526.6500000006
2022-06-28,359545.909999999
2022-06-29,-169619.0699999996
2022-06-30,-178044.90999999945
2022-07-01,5132.529999999562
2022-07-05,130312.27999999933
2022-07-06,-129388.75000000023
2022-07-07,-10327.030000000726
2022-07-08,-116666.94999999925
2022-07-11,-103904.419999999
2022-07-12,24488.029999998864
2022-07-13,-58586.73999999906
2022-07-14,-16053.039999999339
2022-07-15,-82647.37000000058
2022-07-18,210376.96000000043
2022-07-19,251911.81000000052
2022-07-20,-29195.879999999655
2022-07-21,88161.61999999895
2022-07-22,85878.22999999952
2022-07-25,-179366.34000000078
2022-07-26,-3606.620000001043
2022-07-27,74094.67000000039
2022-07-28,30694.3899999992
2022-07-29,90643.5299999998
2022-08-01,-113753.89999999921
2022-08-02,-147775.1700000004
2022-08-03,44802.21000000043
2022-08-04,-181085.32999999728
2022-08-05,10268.749999997672
2022-08-08,-28240.990000002785
2022-08-09,-117064.56000000169
2022-08-10,-105827.57000000146
2022-08-11,26625.789999996545
2022-08-12,226512.62999999686
2022-08-15,97557.63000000268
2022-08-16,-64009.53000000166
2022-08-17,-173027.13000000012
2022-08-18,-137990.79000000167
2022-08-19,4251.220000002999
2022-08-22,69648.87000000174
2022-08-23,-156109.0499999968
2022-08-24,-94479.06999999715
2022-08-25,139369.84999999928
2022-08-26,369139.8800000006
2022-08-29,-169729.01999999932
2022-08-30,158323.10000000102
2022-08-31,34411.97999999998
2022-09-01,-21882.450000000652
2022-09-02,239081.75999999885
2022-09-06,-2696.560000000056
2022-09-07,219688.97999999952
2022-09-08,119287.98999999929
2022-09-09,28835.10000000056
2022-09-12,-70657.62000000104
2022-09-13,269983.3499999996
2022-09-14,-195583.28999999864
2022-09-15,-42306.009999999544
2022-09-16,-128364.57000000053
2022-09-19,82007.8599999994
2022-09-20,-127829.58999999892
2022-09-21,52986.92000000039
2022-09-22,-54480.559999999125
2022-09-23,-97361.12999999989
2022-09-26,-85495.54999999981
2022-09-27,4895.010000000242
2022-09-28,58445.59999999986
2022-09-29,-10021.129999998957
2022-09-30,7103.030000000494
2022-10-03,62272.539999999106
2022-10-04,108056.65999999922
2022-10-05,-25966.719999999274
2022-10-06,-60033.409999999916
2022-10-07,82186.08000000077
2022-10-10,1562.1000000007916
2022-10-11,-168413.8700000008
2022-10-12,-163613.70000000112
2022-10-13,592404.2999999993
2022-10-14,246144.16999999946
2022-10-17,-93301.22000000067
2022-10-18,12216.350000000093
2022-10-19,-152133.77999999886
2022-10-20,-66874.79000000097
2022-10-21,297830.5800000001
2022-10-24,-48162.1399999992
2022-10-25,96531.81000000052
2022-10-26,-172047.7600000007
2022-10-27,22468.559999999125
2022-10-28,283636.91999999946
2022-10-31,-185416.11000000034
2022-11-01,128733.7900000005
2022-11-02,80708.04999999981
